"","wage","educ","exper","fulltime","hrswk","nkids","age","married","female","insurance","private","mcaid","mcare","metro","northeast","midwest","south","west","white","black","asian"
"43",10.53,12,15,1,40,0,30,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"44",16.35,13,44,1,40,0,60,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"45",5.2,13,5,0,40,0,21,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"46",50,13,18,1,40,3,34,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"47",10,13,28,1,40,0,44,0,1,1,1,0,0,1,0,0,1,0,0,1,0
"48",9,12,32,0,0,1,47,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"49",13,14,29,0,30,2,46,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"50",18.25,12,13,1,40,0,28,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"51",36.05,16,20,1,49,3,39,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"52",11.3,12,29,1,50,0,44,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"53",11,10,12,1,40,0,24,0,0,1,1,0,0,1,0,0,1,0,0,1,0
"54",7.5,12,29,1,40,2,44,1,1,1,1,0,0,1,0,0,1,0,0,1,0
"55",7.5,16,4,1,40,0,23,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"56",25.63,12,23,1,60,2,38,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"57",25.95,18,26,1,40,2,46,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"58",19.23,16,37,1,60,0,56,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"59",25,13,34,1,40,0,50,1,0,1,1,0,0,0,0,1,0,0,1,0,0
"60",28,14,27,1,40,2,45,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"61",9,3,33,1,40,2,41,1,1,0,0,0,0,1,0,0,0,1,1,0,0
"62",29.75,12,22,1,40,2,36,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"63",8.75,3,19,1,40,0,27,1,0,0,0,0,0,1,0,0,0,1,1,0,0
"64",15.55,12,34,1,40,1,49,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"65",25.63,14,24,1,60,3,42,1,0,1,1,0,0,0,1,0,0,0,1,0,0
"66",17.19,18,47,0,32,0,67,1,0,1,1,0,0,1,0,0,1,0,0,0,1
"67",10.5,12,9,1,60,0,24,0,0,1,1,0,0,0,0,0,0,1,1,0,0
"68",12.7,14,29,1,40,2,47,1,1,1,1,0,0,1,0,0,0,1,0,1,0
"69",9.46,12,35,1,37,1,50,1,1,1,1,0,0,1,0,0,1,0,0,1,0
"70",28.85,18,12,1,40,1,32,1,1,1,1,0,0,1,0,0,1,0,0,0,1
"71",47.13,16,17,1,40,1,36,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"72",9,14,25,0,30,2,42,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"73",72.13,12,27,1,52,0,42,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"74",30.77,21,29,1,55,0,50,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"75",28.84,16,16,1,50,1,35,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"76",26.93,14,32,1,40,1,49,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"77",8,12,7,0,36,0,21,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"78",8,13,7,0,20,2,23,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"79",18.75,13,44,1,45,0,60,0,1,0,0,0,0,1,0,0,0,1,1,0,0
"80",13,13,35,1,40,0,51,0,1,1,1,0,0,0,0,1,0,0,1,0,0
"81",34.62,21,12,1,45,1,33,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"82",39.9,13,32,1,40,0,48,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"83",10.25,16,18,0,40,0,37,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"84",15.37,12,33,0,27,0,48,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"85",19.23,12,29,1,40,2,44,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"86",13.45,12,42,1,40,0,57,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"87",27.5,13,20,1,40,1,36,1,0,1,0,1,0,0,0,1,0,0,1,0,0
"88",10,14,18,1,40,1,36,1,0,1,1,0,0,1,0,1,0,0,0,1,0
"89",13.03,12,31,1,40,0,46,1,1,1,1,0,0,0,0,0,0,1,1,0,0
"90",7.88,12,40,1,0,0,55,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"91",8,6,14,1,40,0,23,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"92",16.83,16,13,1,40,0,32,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"93",13.8,12,36,0,5,0,51,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"94",10.3,13,56,0,20,0,72,1,1,1,1,1,1,1,0,0,1,0,1,0,0
"95",11.5,14,28,1,40,2,45,1,0,1,1,0,0,0,0,1,0,0,1,0,0
"96",12,16,29,1,25,0,48,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"97",35.89,18,21,1,45,2,41,1,1,1,1,0,0,1,0,0,1,0,0,0,1
"98",28.85,16,34,1,40,0,53,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"99",16.95,12,35,1,40,0,50,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"100",17,14,29,1,40,0,47,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"101",8,14,3,0,15,0,21,0,1,1,1,0,0,0,0,1,0,0,1,0,0
"102",40.38,16,17,1,40,1,36,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"103",20,13,26,1,40,2,42,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"104",19.23,13,17,1,40,0,33,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"105",10,16,32,0,35,2,51,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"106",35.71,16,16,1,40,1,35,0,1,1,1,0,0,1,1,0,0,0,0,1,0
"107",39.06,14,18,0,32,1,35,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"108",9,18,43,1,24,0,63,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"109",13.5,12,7,0,32,0,22,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"110",31.25,18,22,0,50,0,42,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"111",19.23,12,21,1,40,4,36,1,0,1,1,0,0,0,0,0,1,0,1,0,0
"112",29.91,16,33,1,45,0,52,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"113",13.5,12,23,1,40,1,38,0,0,1,1,0,0,1,0,0,1,0,1,0,0
"114",15,16,6,1,55,0,25,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"115",32.68,13,24,1,40,0,40,0,0,1,1,0,0,1,0,0,1,0,1,0,0
"116",29.08,16,12,1,40,0,31,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"117",27.83,14,6,1,40,1,24,1,0,1,1,0,0,0,0,0,0,1,1,0,0
"118",14.25,12,46,1,40,0,61,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"119",38.47,16,47,1,45,0,66,1,0,1,1,0,1,1,0,0,1,0,1,0,0
"120",18.28,12,13,1,40,2,28,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"121",20,16,34,0,20,1,53,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"122",9,14,19,0,15,2,36,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"123",12,12,65,1,40,0,80,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"124",12,16,13,1,40,1,32,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"125",25.63,18,21,0,30,2,41,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"126",22.05,13,12,1,40,1,28,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"127",10.5,16,37,1,38,0,56,1,1,1,1,0,0,1,0,0,1,0,0,1,0
"128",6.76,9,20,1,40,1,31,1,0,0,0,0,0,1,0,0,1,0,1,0,0
"129",6.5,10,63,0,40,3,75,0,1,1,0,0,1,1,0,0,1,0,0,1,0
"130",9.32,13,34,1,40,0,50,1,1,1,1,0,0,0,0,0,0,1,1,0,0
"131",10.58,12,46,1,40,0,61,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"132",24.03,16,42,1,60,0,61,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"133",18,12,27,1,40,3,42,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"134",18.03,14,16,0,32,2,33,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"135",39.23,18,43,1,40,0,63,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"136",18.52,12,21,0,40,0,36,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"137",24.05,16,24,1,45,1,43,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"138",28.85,13,27,1,40,1,43,0,0,1,1,0,0,1,0,1,0,0,0,1,0
"139",9.57,10,11,1,42,2,23,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"140",14.95,13,33,1,44,1,49,0,0,1,1,0,0,0,0,0,0,1,1,0,0
"141",15.65,13,39,1,40,0,55,0,0,1,1,0,0,1,0,0,0,1,1,0,0
"142",25,18,20,1,40,2,40,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"143",27.88,21,15,1,60,2,36,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"144",15.4,13,32,1,40,2,48,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"145",19.23,14,4,1,40,0,22,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"146",38,16,33,0,24,1,52,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"147",15.38,12,35,1,40,0,50,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"148",28.85,13,48,1,1,0,64,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"149",15.88,13,17,1,40,2,33,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"150",25,16,9,1,40,1,28,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"151",11.35,14,38,1,40,0,56,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"152",15.38,12,51,1,40,0,66,0,1,1,1,0,1,1,1,0,0,0,0,1,0
"153",30.76,16,19,0,40,2,38,1,1,1,1,0,0,1,0,0,0,1,0,0,1
"154",18.75,12,29,1,40,0,44,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"155",72.13,16,28,1,40,0,47,1,1,1,1,0,0,1,0,1,0,0,0,1,0
"156",13.75,12,32,1,55,0,47,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"157",24.05,13,30,1,40,2,46,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"158",17.5,12,39,1,40,0,54,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"159",43.25,18,8,1,40,0,28,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"160",9.93,12,32,1,40,0,47,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"161",24.63,16,38,1,65,0,57,0,0,1,1,0,0,1,0,0,1,0,1,0,0
"162",36.3,13,44,1,40,0,60,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"163",30.9,16,35,1,50,0,54,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"164",11,14,15,0,15,1,33,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"165",12.5,12,29,1,40,0,44,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"166",28.85,13,39,1,40,0,55,1,0,0,0,0,0,1,0,0,0,1,1,0,0
"167",10,12,9,1,35,0,24,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"168",25.35,16,22,1,40,2,41,1,1,1,1,0,0,1,0,0,1,0,0,1,0
"169",12.31,13,23,1,60,0,39,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"170",21.27,12,38,1,45,0,53,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"171",17.49,12,30,1,55,0,45,1,0,1,1,0,0,0,0,0,1,0,1,0,0
"172",23,13,37,1,35,0,53,0,1,0,0,0,0,1,1,0,0,0,1,0,0
"173",36.05,18,37,1,40,0,57,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"174",9,12,27,1,40,1,42,0,1,1,1,0,0,0,1,0,0,0,1,0,0
"175",27.3,13,31,1,50,0,47,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"176",21.63,16,24,1,40,1,43,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"177",17,13,19,1,40,2,35,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"178",14.29,16,4,1,40,0,23,0,0,1,1,1,0,1,0,0,0,1,1,0,0
"179",35.1,18,35,1,40,0,55,1,0,1,0,0,0,1,1,0,0,0,1,0,0
"180",16,12,24,1,50,1,39,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"181",7,12,14,1,40,2,29,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"182",21.63,12,34,1,40,0,49,1,1,1,1,0,0,1,0,0,1,0,0,1,0
"183",9.25,14,39,1,40,0,57,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"184",15.43,12,18,1,40,1,33,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"185",21.25,16,36,1,48,0,55,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"186",34.63,12,37,1,50,0,52,0,1,1,1,0,0,0,1,0,0,0,1,0,0
"187",10,16,17,0,3,4,36,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"188",15.38,16,38,1,50,1,57,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"189",45.23,14,42,1,40,0,59,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"190",12,16,9,0,30,0,28,0,1,1,1,0,0,1,0,0,1,0,0,1,0
"191",10,12,35,1,40,3,49,1,0,1,0,1,0,1,0,0,0,1,0,0,1
"192",14,13,10,0,20,0,26,0,1,1,1,0,0,1,1,0,0,0,0,1,0
"193",31.25,12,40,1,40,0,55,0,0,1,1,0,0,1,0,0,0,1,0,1,0
"194",50.95,18,22,1,40,2,42,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"195",37.5,21,36,1,40,0,58,1,0,0,0,0,0,1,1,0,0,0,0,0,1
"196",15.88,13,44,1,37,0,60,0,1,1,1,0,0,1,0,0,1,0,0,1,0
"197",23.08,12,27,1,50,2,42,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"198",8.52,0,44,0,40,0,51,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"199",10,14,37,1,40,0,55,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"200",18,14,37,1,40,0,55,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"201",31.73,13,19,1,40,0,35,0,0,1,1,0,0,1,0,0,0,1,0,0,1
"202",20,16,10,1,42,2,29,1,1,1,1,0,0,1,0,0,1,0,0,1,0
"203",28,18,7,1,70,0,27,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"204",7.25,9,16,1,40,3,27,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"205",14.4,16,17,1,40,2,36,0,1,1,1,0,0,1,0,0,1,0,0,1,0
"206",21.63,12,22,1,40,0,37,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"207",24.05,13,29,1,40,0,45,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"208",21,13,9,1,40,1,25,1,0,1,0,0,0,1,0,0,0,1,1,0,0
"209",24.29,16,28,1,45,0,47,0,1,1,1,0,0,1,0,0,1,0,0,1,0
"210",6,14,6,1,20,3,23,0,0,1,1,0,0,0,1,0,0,0,1,0,0
"211",12.5,12,16,1,40,0,31,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"212",19.23,12,15,1,40,1,30,1,0,1,1,0,0,0,0,0,0,1,1,0,0
"213",15.53,12,27,1,40,0,42,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"214",7.25,11,12,0,20,1,25,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"215",35.49,18,9,1,65,0,29,0,0,1,1,0,0,1,1,0,0,0,1,0,0
"216",19.24,18,8,1,55,0,28,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"217",22.7,18,29,1,62,0,49,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"218",30.7,18,25,1,50,0,45,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"219",10,13,13,0,40,4,29,1,1,0,0,0,0,0,0,0,0,1,1,0,0
"220",72.13,16,11,1,40,0,30,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"221",72.13,16,22,1,40,4,41,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"222",19.23,14,44,1,40,0,61,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"223",9.9,13,9,0,30,0,25,1,1,1,0,0,0,1,0,0,1,0,0,1,0
"224",15,8,43,1,40,0,53,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"225",6.5,13,57,0,32,0,73,1,1,1,1,1,1,1,0,0,0,1,1,0,0
"226",28.72,12,14,1,46,0,29,0,0,1,1,0,0,1,0,0,1,0,1,0,0
"227",34.63,18,19,1,40,1,39,1,0,1,1,0,0,1,1,0,0,0,0,0,1
"228",12.03,13,9,1,40,0,25,0,0,1,1,0,0,1,0,0,1,0,0,1,0
"229",9,14,8,1,40,1,26,1,0,1,1,0,0,0,0,0,0,1,1,0,0
"230",30,16,16,1,40,0,35,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"231",3.75,16,31,1,60,0,50,1,0,1,1,0,0,0,0,0,0,1,1,0,0
"232",16.83,14,10,1,40,0,27,0,1,1,1,0,0,1,0,0,0,1,0,0,1
"233",12.08,12,24,1,40,5,39,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"234",43.8,21,33,1,50,1,55,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"235",8.25,13,7,1,40,0,23,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"236",19.55,14,32,0,40,0,49,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"237",21.54,16,19,1,50,3,38,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"238",14.5,12,34,1,50,1,49,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"239",10.5,8,37,1,40,1,47,0,0,1,1,0,0,1,0,0,1,0,1,0,0
"240",11.3,13,21,1,40,2,37,1,1,1,1,0,0,1,0,1,0,0,0,0,1
"241",35,12,51,1,40,0,65,0,0,1,1,0,0,1,0,0,0,1,1,0,0
"242",19.55,14,28,1,40,2,46,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"243",10.94,12,10,0,32,2,25,1,1,0,0,0,0,1,0,1,0,0,0,1,0
"244",13.33,12,50,0,30,1,65,1,0,1,1,0,1,1,1,0,0,0,1,0,0
"245",18,12,21,1,40,0,36,0,0,1,1,0,0,0,0,0,1,0,1,0,0
"246",9.5,12,10,1,44,0,25,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"247",18,12,24,0,0,1,39,0,1,0,0,0,0,1,1,0,0,0,1,0,0
"248",15,18,17,1,40,2,37,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"249",13,12,15,1,40,0,30,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"250",19.2,14,39,0,30,0,57,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"251",11.5,12,21,1,40,2,36,1,0,0,0,0,0,1,1,0,0,0,1,0,0
"252",36.52,16,30,1,50,0,49,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"253",10,12,39,1,40,0,54,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"254",20.04,13,30,1,63,0,46,0,0,1,1,0,0,1,0,1,0,0,0,1,0
"255",24.03,16,4,1,40,0,23,0,0,1,1,0,0,1,1,0,0,0,1,0,0
"256",31.25,14,35,1,40,0,52,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"257",13.04,13,15,1,40,2,31,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"258",16,12,44,1,40,0,59,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"259",31.25,12,44,1,40,0,59,0,0,1,1,0,0,1,0,1,0,0,0,1,0
"260",16.88,16,36,1,40,0,55,0,1,1,1,0,0,1,1,0,0,0,0,1,0
"261",29.8,13,42,1,40,0,58,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"262",7.6,12,47,0,5,0,61,0,1,1,0,0,0,0,1,0,0,0,1,0,0
"263",11,13,35,1,40,1,51,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"264",16.28,16,35,1,40,0,54,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"265",17.57,13,50,1,38,0,66,1,0,1,1,0,1,0,1,0,0,0,1,0,0
"266",24.33,16,18,1,50,0,37,0,1,1,1,0,0,1,1,0,0,0,0,1,0
"267",16.24,16,36,1,45,0,55,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"268",22,16,9,1,40,0,28,0,0,1,1,0,0,1,0,0,0,1,1,0,0
"269",25,12,32,1,50,0,47,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"270",20,13,22,1,30,4,38,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"271",43,12,29,1,40,0,44,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"272",40.38,16,39,0,24,0,58,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"273",11.5,13,17,1,40,2,33,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"274",19.23,13,42,1,40,0,58,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"275",7.5,13,44,1,48,0,60,1,0,1,1,0,0,1,0,0,1,0,0,1,0
"276",19.23,16,19,1,71,0,38,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"277",21.5,12,35,0,22,2,50,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"278",26,14,28,1,40,1,46,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"279",16.08,18,36,1,40,0,56,0,0,1,1,0,0,0,0,0,0,1,1,0,0
"280",14,16,7,0,20,0,26,0,0,1,0,1,0,1,0,1,0,0,1,0,0
"281",23.06,16,33,1,50,0,52,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"282",13.25,12,20,1,40,0,35,0,0,1,1,0,0,0,0,0,0,1,1,0,0
"283",61.11,18,22,1,45,0,42,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"284",11.25,13,10,1,50,4,26,1,1,1,1,0,0,0,0,0,0,1,1,0,0
"285",16.83,16,35,1,40,0,54,0,0,1,1,0,0,1,0,0,1,0,0,1,0
"286",8,13,5,0,12,0,21,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"287",8.63,12,36,1,40,0,51,0,1,0,0,0,0,1,0,0,1,0,0,1,0
"288",18.75,14,14,1,54,0,31,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"289",30.33,18,34,1,45,1,54,1,0,1,1,0,0,0,0,1,0,0,1,0,0
"290",40.46,13,32,1,48,0,48,0,0,1,1,0,0,1,0,0,0,1,1,0,0
"291",27.63,16,42,1,40,0,61,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"292",11,16,3,1,24,0,22,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"293",7.5,13,6,1,60,0,22,0,0,1,1,1,0,0,0,1,0,0,1,0,0
"294",17.88,16,15,1,40,2,34,1,1,1,1,0,0,0,0,0,0,1,1,0,0
"295",8,13,27,1,40,0,43,1,0,1,1,0,0,0,1,0,0,0,1,0,0
"296",18.3,12,33,1,40,0,48,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"297",28.83,13,34,1,56,0,50,0,0,1,1,0,0,0,0,0,1,0,1,0,0
"298",13,12,28,0,40,0,43,0,0,0,0,0,0,1,0,1,0,0,1,0,0
